News_ID,article
0,"russian foreign minister sergei kozyliev arrived at on of of of of.'' were - - - talks on the extension of of nuclear non - proliferation treaty. the united states states forces opened a prison in to to. .. . .s , and government officials say , to bring new new back to the world world when the cubans , were arrived. people in the , city welcomed housing , to the the the jobs , and boosted and the the. . the world's s s dependence on education. the family of and - - a one student filed a a suit , led to a a teacher's union , and and and and pressured the students to change the classroom space for the to teachers. the meanwhile , many people demonstrated at at japanese consulate in the southern chinese city of beijing hangzhou , american american diplomat and - - chang , and. .. and - - - - in beijing. the loss of the. .. .. .. - - - and the deadly nuclear of. - - of this weekend proved again again. commuters and truckers. the out to the stretch of highway that handles the to - - - - a day in july. . green bay packers ,. and free food trade food in western europe in summer vacation."
1,"''''' one one', and , the one theer , it was. the one , smith. a , - - - ,', afghans ,. . ,'s western - style style ,. . , -. the. . ,'and'''''''' - - smith , it's a love. b.'o's s','' o. s'- - ed - - - ed ,. , and. , ,'the be one love love ben ben -. ..'- - - all all all all all - and -. , robert kennedy , , - - all all one all all home , ,. ..', one one , brian and i , world , and and , , one one all all one all all all all one love love one one , anti - use drugs. the. .. .. .. .. - and and. b. smith , a. all all all one all one all all all one all all all all one all all one all all all one all and. . the'and. , the. one one one one one one all all all one all - all. , the the b. a. the. ."
2,"The threat of an opposition boycott and a small revolution within President Robert Mugabe's ruling party have marked the countdown to Zimbabwe's parliamentary elections next month. BATTING--Holliday, Colorado, .352; DYoung, Washington, .342; MiCabrera, Florida, .333; Helton, Colorado, .332; DeLee, Chicago, .332; Rowand, Philadelphia, .325; Renteria, Atlanta, .325. French men and women by a large majority contend that capitalism is unjust, benefiting only a small number of people, and want to see a better alterative, a poll published Tuesday showed. Along this desolate frontier said to be teeming with Qaida and Taliban fighters, the border with Pakistan seems as elusive as the fugitives themselves. Police on Thursday removed a partly-assembled bomb from an upper floor of a high-rise building in the Philippine capital, an official said. Good news, the White House declared last week: When the books on the fiscal year are closed in September, the federal budget deficit should shrink to $205 billion. The Dallas Stars added some more offense on Monday, signing free agent right wing Donald Audette to play alongside one of their top centers. Paraguayan judicial departments sentenced the three assassins of Paraguayan Vice President Luis Maria Argana on Tuesday to 20 to 25 years in prison, according to reports from Asuncion, the capital of Paraguay."
3,"The Bank of France increased its short-term intervention rate by more than two points to 8.0 percent on Wednesday to support the franc which has been under attack during the current global currency crisis. A European Union high court on Tuesday upheld several Anheuser-Busch trademarks relating to its Budweiser beer, dismissing a challenge from its Czech brewing rival Budejovicky Budvar NP. A legal battle loomed Wednesday over new abortion restrictions enacted in Nebraska to target one of the few doctors in the United States who provides controversial late-term abortions. WASHINGTON --The White House backed Israel's right to self-defense on Wednesday, as Israeli forces widened their offensive across Palestinian-controlled territories and a key U.S. partner in the Arab world downgraded its ties with Israel in protest. Retired Major League Baseball star Mark McGwire avoided a direct denial of taking steroids in an opening statement under oath before US lawmakers Thursday where he indicated he will answer few questions. It's her first time going for drinks at the Chateau Marmont, but she negotiates the dark staircase up to the lobby like a pro, using the kind of sidestep one has to perfect when 4-inch Balenciaga heels are everyday footwear. Mordecai Richler, a Canadian writer known for novels on Jewish life in Montreal and acerbic social commentary, died of cancer Tuesday at age 70. The inflow of smuggled goods into Bangladesh is posing severe threats to the local industries and the government exchequers, according to local newspaper The New Nation Friday."
4,"british foreign secretary douglas hurd said the eu had to strike a balance between putting pressure on russia over chechnya while trying to avoid cislating russia and endangering the process of reform. the long - awaited murder trial of a political analyst in the slaying of his mongolian lover started monday with prosecutors promising to prove that the accused co ofired with two policemen to blow up the victim with explosives. ronnie o. sullivan moved into the second round of the world snooker championship on tuesday but the three - times champion's progress past china's liang wenbo was less smooth than had been anticipated. the new york times syndicate is offering two articles per week _ some with art _ from national geographic today , the national geographic channel's daily news journal , as a free three - month trial. british defence and aerospace giant bae systems said thursday it had won a contract worth 834 million dollars ( 643 million euros ) to supply the us army with lightweight howitzer artillery. "" everything seems like a dark place now ,"" pitts tells"" sopranos"" star james gandolfini. "" i don't feel comfortable anywhere in the civilian world. "" second - quarter earnings at dow jones & amp ; co. , publisher of the wall street journal , fell 57 ;"
5,"nippon steel is is likely to net pre - tax profits of eight billion yen ( 84 billion yen. in the year to come , while all other major japanese steelmakers are expected to suffer losses , a report said saturday. ruud van nistelrooy scored his second goal in the last last minute as real madrid rallied to draw 2 - 2 at zaragoza on sunday to keep alive its hopes of the spanish league title after escalatol managed a 2 - 2 draw at fc barcelona. israel's army denied on monday that it plans to carry out mass expulsions of palestinians living in in west bank after a new military policy entered into force. a navy petty officer from florida arrived on thursday morning in a training mission in a remote area near kandahar , afghanistan , the israel national defense said. a weekend call by nepal's maoist rebels for a countrywide border blockade to protest at king gyanendra's seizure of power has not not been ignored , police said wednesday. bill clinton led back into the political political fray , in the role of doting spouse , convincing thousands of democratic supporters in that his wife was more qualified to be president than he was when he first ran for the presidency. nearly nine months after the standoff at oak ridge , a federal."
6,"Indian police on Saturday shot dead two people who had been tampering with ballot boxes in eastern Bihar state while two others died in poll-related clashes, the Press Trust of India (PTI) said. All Internet search engines' privacy policies will come under the EU microscope as the bloc's data privacy adviser widened a probe Thursday triggered by concerns that Google Inc. could be violating EU privacy rules by storing search information for too long. A tornado cut a deadly path through the southern US state of Mississippi Saturday, killing at least two people and destroying homes, state officials and media reported. Both sides call it the oxygen factory. An abandoned blue building made of cinderblock and sheet metal, it sits near an Israeli settlement here _ and in the center of a chasm. An Israeli bulldozer will soon demolish it. Tibet's exiled spiritual leader the Dalai Lama arrived in Japan on Friday, kicking off an 11-day visit during which he is expected to receive a low-key reception. The families of four Maryland residents who died in the terrorist attacks on Sept. 11, 2001, have settled a lawsuit against airlines and airport security firms that the families said failed to prevent the attacks, their lawyers announced Wednesday. L'ALPE D'HUEZ, France (AP) _ Lance Armstrong took a commanding step toward a third straight Tour de France title, bluffing his rivals Tuesday to win a grueling climb in the French Alps. Five Palestinians were killed near the northern West Bank town of Kalkilya in an Israeli ambush overnight, reported the Palestine News Agency on Monday."
7,"Civilians are the main victims of Russia's massive bombing of Chechnya, where the towns of Grozny, Argun and Shali have been reduced to ashes, a medical team from the charity Medecins Sans Frontiere- Belgium said Thursday on returning from a two-month mission. North Korea vowed Monday to move forward with its pledge to shut down its nuclear reactor in exchange for aid, as U.N. monitors prepared to visit the communist nation to discuss how to verify the long-delayed shutdown. Russian Prime Minister Vladimir Putin, better known in the West for his tough- guy image, expressed concern Thursday for the fate of Arctic polar bears threatened by climate change. Those who try to reform New York state's troubled and badly underfinanced mental health system know it is a great help at budget time if some innocent people have died. Turkmenistan made final preparations on Monday for the inauguration of a new dam on the Turkmen-Iranian river border by Turkmenistan President Saparmurat Niyazov and his Iranian counterpart Mohammad Khatami, Turkmen officials said. In northern San Diego County on Wednesday, firefighters went back in to douse hot spots left behind after the so-called Witch Fire ravaged the region before marching on toward the coast. But before attending to their task, some paused on the blackened hills, removing their helmets and holding them Free agent forward Clarence Weatherspoon left the Cleveland Cavaliers to sign a five-year, $27.5 million contract with the New York Knicks on Friday. A Sino-U.S. joint venture, Shanghai Symphony Telecommunication Co., was launched Tuesday, signaling that foreign companies are starting to enter into China' s telecom market."
8,"The body of an 18-year old Palestinian student kidnapped by armed attackers has been found with his throat slit near his home east of Algiers, Palestinian officials said here Saturday. Jocelyn Angloma and David Fleurival scored in the first half and Guadeloupe held off Canada for a 2-1 victory in a CONCACAF Gold Cup group match Saturday night. Atheist campaigners are planning a legal ambush to have Pope Benedict XVI arrested during his state visit to Britain over his alleged cover-up of sexual abuse in the Roman Catholic Church. Condemning the terrorism that he said had brought about the latest crisis in the Middle East, Secretary of State Colin Powell seemed to back the Israeli military operation Friday even as he called on the government of Prime Minister Ariel Sharon of Israel to show restraint. Chinese share prices closed 1.07 percent lower Wednesday, extending losses on worries about an interest rate hike after investment in fixed-assets in the first two months of the year continued to grow apace, dealers said. Cheri Garvin and her staff at Leesburg Pharmacy will mix pediatric reflux medicine from scratch, in any flavor a child desires. And the kids get an advance taste, ice-cream-parlor style. ``We want to make Mom's job of getting it down them easier,'' said Garvin, a mother of two young General Electric Co. chief executive Jack Welch was not the only influential American who seemed taken aback by the European Union's threat to block GE's $41 billion purchase of Honeywell International Inc. The Ebola death toll in Gulu district in northern Uganda has risen to 54 with three new deaths reported in the past 24 hours, Ugandan Health Ministry said on Sunday."
9,"the in'the it's a'one one'he s one half half , and. .. , , , , and the the the"" the"" and"" mr. "" he. s. .. s. married. .. .. s s.'lice. you you you all you you you you you you -'ed. a , african american american a the new co - ed you you you you you you you you you you you , , s , and - - any you you you , , s. the new you me you me you me me , me me , and me me you me you me you , me all me all all - s , i i the the'- s. "" - - smith , the'- s's co - boy i - s , the all all myself , s , and all me , all i - - s s. the a - year - old. . ,'all all. st. . ,'' all all all all all a a. d. embassy , paris , france all you me , all me all all - s.'all all - s ,'' i's me me'all', and me you d', all'o's."
