doc_id1,doc_id2
7283,48
319,179
3239,180
3722,218
8724,353
4563,464
9454,531
7167,671
7154,705
2435,1030
7083,1076
4528,1171
6412,1227
7623,1300
4638,1359
7730,1544
8662,1928
9265,1994
7773,2042
2681,2122
2540,2129
4392,2285
9955,2288
4243,2367
6665,2427
4909,2539
9595,2564
6867,2729
3142,2852
4063,2976
7910,3451
6740,3797
9796,4071
7586,4405
5398,4951
8304,5139
8848,5369
7527,6035
6936,6083
6180,6103
7440,6381
8187,7206
8154,7268
8700,7808
7998,7845
9882,8020
9813,9334
5493,50
6757,317
5894,354
1069,661
5515,725
5183,1119
1686,1125
6700,1474
4252,1717
2556,1765
4533,1816
4656,2071
4045,2248
4659,2326
3486,2702
8059,3023
9668,3027
8997,3195
6939,4103
6620,4298
9199,4521
6664,5213
8577,5256
7466,5681
6621,6346
9394,7500
8496,8434
1691,177
3306,198
8400,767
1800,1431
7335,1552
5431,2159
4946,2201
8907,2246
8490,2569
6573,2901
5583,2911
5532,2934
8919,4566
8108,4611
6075,5418
7531,5829
9543,8553
6452,179
6452,319
3257,357
8728,506
3884,642
3668,692
6405,1000
2663,1040
9680,1219
9069,1320
6841,1682
4410,1787
2814,2214
4431,2388
7697,2791
6834,3940
7082,4827
9665,5206
5214,5207
8617,5609
8659,7550
8900,7821
9266,9213
3572,60
981,156
2412,189
3465,320
8706,771
1794,1617
2923,2710
3821,2743
4635,3783
8735,4590
8875,5050
9830,5814
8945,7253
9998,7415
1910,7
5240,192
7356,272
2673,305
1100,646
5926,1107
8343,2502
9045,3000
6798,3011
9536,4196
6871,6104
9809,6980
8831,7705
8937,8118
9669,9475
7956,605
2430,641
4005,684
2247,1546
6651,1714
9443,1912
2298,2209
5613,2243
4713,2953
8956,3048
9473,3198
9284,4182
9709,4338
4438,4358
6186,5015
7936,7036
8627,7287
9153,7587
8801,7657
3232,738
3385,779
5694,1482
4342,1587
7602,2690
3906,3025
9846,3360
9885,3602
6873,3704
6949,3713
4366,4304
9797,5144
9759,6578
9865,7158
7803,7744
6252,648
6878,892
8242,1353
8955,1371
3910,1509
7432,1893
2983,1940
7030,2024
8727,2526
8580,2824
7094,3604
5774,3692
9769,4214
7929,4966
6796,6293
7100,6818
8482,7234
7113,188
485,402
6474,686
4576,979
2047,1437
8811,2088
7379,2128
2721,2717
5277,3224
4501,3246
8826,3339
9506,4589
9678,5037
9989,5054
9751,8314
6176,828
3719,1076
7083,3719
5353,1281
5903,1651
2927,1711
4518,2229
8191,2551
6172,3041
5756,3332
9785,3592
5911,3871
8796,4506
7545,6228
9798,7133
9626,8235
7689,374
8940,395
2728,747
2053,1038
7695,1231
5740,1793
2281,1821
5930,2098
5496,2140
6743,2307
4120,2347
5473,3651
7952,4602
9505,4691
7461,4887
8144,6966
8146,84
7078,1234
4492,2666
6359,3247
7233,3791
4184,3938
9122,4175
7537,4689
8376,7721
9906,414
7296,1058
1857,1365
4660,1955
6309,3646
7634,3655
6563,3800
9982,3882
6756,4148
9305,8708
8217,1030
8217,2435
3547,1697
8905,3080
5946,3590
5000,3714
4247,3804
6042,4221
5293,4622
6461,5511
6769,6722
8255,7103
9469,7769
9823,8405
9957,4
6284,329
2844,729
4099,746
7071,833
3327,995
3529,1278
2730,1799
9968,2757
8608,3012
7791,3279
5537,3887
6848,5456
9302,6068
8042,6787
3823,323
1259,440
7830,500
3185,2567
6493,2905
3644,3502
6353,4006
7178,4066
5693,5230
9726,5901
9799,6061
8915,503
7215,743
8713,1411
4267,3121
8080,3165
4299,3652
4263,3684
9226,6217
9135,8370
4617,2318
2812,2523
8274,3432
4195,3925
7119,4820
7068,4895
9479,5689
9580,6009
7717,7038
9496,7220
8792,1091
5200,1116
7996,1170
6243,3175
6171,4345
7407,6891
9372,7462
2192,1258
3712,1436
5120,1609
7552,1699
3362,2447
3183,2528
5716,3468
9367,4579
9146,5762
8894,5879
7196,6603
8877,8754
6233,1367
8545,2216
5972,2792
8549,3091
8067,4758
8359,5571
9677,7339
8850,7344
9007,4724
9489,4993
9412,8569
8030,196
8047,1018
8717,1812
4088,3032
4675,3084
8909,4642
1582,134
5720,243
7796,352
9606,975
7370,1369
6022,2725
6523,2929
8485,5283
9109,5795
8640,6310
7159,6377
4876,211
5212,214
9161,250
8468,6254
8353,6286
8193,6823
9552,6997
5596,186
763,452
4995,1891
2468,1918
5498,2736
5518,3512
7673,5092
9005,6674
7372,6802
9493,7419
6548,570
7962,1210
3885,1416
5419,2455
4776,3204
9783,3582
8927,5081
9961,6916
3450,1752
8943,5151
6870,5289
9150,5979
8723,7614
9727,8347
7349,115
512,206
1828,1043
6294,1061
5651,2102
9352,2624
9770,4172
8113,4233
4950,4573
660,379
5921,497
3639,2134
5534,2357
9644,2512
9279,4486
6899,4649
9289,5364
8135,5390
8817,598
1200,932
9026,1053
8413,1421
7571,1848
6846,5721
9914,2238
2952,2737
6739,3562
5185,3930
2700,631
2885,1464
6459,3845
6413,6020
8332,226
9532,1592
6407,2048
5649,2062
5305,2193
6442,6083
6936,6442
8520,1885
7761,1941
6920,3534
7731,3880
6764,5272
9292,5404
9537,1441
2595,2504
4879,2806
7530,5675
7302,6877
9101,8107
3511,850
2720,940
3831,1187
7734,6431
8979,8630
8203,548
8969,866
6954,916
1261,1151
6624,3539
6629,4102
9107,4341
5971,4686
6333,377
5197,1147
4640,1409
7484,3159
7812,4397
7016,5236
9073,6557
9128,2277
4534,4261
6423,5528
7392,5868
3970,1104
5622,2931
6663,4454
9408,6358
9187,6479
5497,5052
7284,5478
9035,6197
6711,6244
2875,1227
6412,2875
6449,1476
9448,2013
3824,2320
8479,617
6481,592
9942,987
7536,1825
5757,3373
9637,1020
2038,1180
2554,1523
7885,4661
8158,5544
3764,205
6304,1880
6250,5966
9416,5976
9452,7136
9563,1075
9260,2153
6780,2250
5701,2688
9076,2775
7831,4442
9152,7780
